Tag,Total Copper,Timestamp
SLaP,298800,2025-12-28 14:17
CutE,296500,2025-12-28 14:17
R438,276700,2025-12-28 14:17
TxCx,276300,2025-12-28 14:17
6999,272600,2025-12-28 14:17
202S,270100,2025-12-28 14:17
GraB,269400,2025-12-28 14:17
Mad1,266700,2025-12-28 14:17
MINI,265400,2025-12-28 14:17
BdBr,264300,2025-12-28 14:17
FUZZ,264000,2025-12-28 14:17
304z,263000,2025-12-28 14:17
FKX,261000,2025-12-28 14:17
IMRG,253000,2025-12-28 14:17
TGnG,251900,2025-12-28 14:17
VALR,246700,2025-12-28 14:17
PFB,245400,2025-12-28 14:17
WIKD,245000,2025-12-28 14:17
FiRi,244100,2025-12-28 14:17
WKZ,241400,2025-12-28 14:17
4PEx,241100,2025-12-28 14:17
Risk,239000,2025-12-28 14:17
LoYL,238000,2025-12-28 14:17
lux,237900,2025-12-28 14:17
SHPs,237100,2025-12-28 14:17
NAOW,237100,2025-12-28 14:17
VvIP,236900,2025-12-28 14:17
HOM3,235300,2025-12-28 14:17
DRTC,225400,2025-12-28 14:17
SEC9,219100,2025-12-28 14:17
QuAC,210200,2025-12-28 14:17
PHTH,207400,2025-12-28 14:17
KOv,204500,2025-12-28 14:17
KDIR,198700,2025-12-28 14:17
ELFy,198700,2025-12-28 14:17
HMTE,198400,2025-12-28 14:17
APXP,196400,2025-12-28 14:17
jsR,192800,2025-12-28 14:17
HRHm,192600,2025-12-28 14:17
BJug,188900,2025-12-28 14:17
Oadk,182300,2025-12-28 14:17
438R,164900,2025-12-28 14:17
PYRE,164400,2025-12-28 14:17
PM62,164300,2025-12-28 14:17
DJs,160600,2025-12-28 14:17
SLoW,158600,2025-12-28 14:17
NaOw,154600,2025-12-28 14:17
WOTH,142100,2025-12-28 14:17
JJDJ,140800,2025-12-28 14:17
DAYs,139400,2025-12-28 14:17
TLOS,134400,2025-12-28 14:17
CARA,128900,2025-12-28 14:17
Kgl,128500,2025-12-28 14:17
AZoo,127000,2025-12-28 14:17
TRPx,114200,2025-12-28 14:17
LuNE,94200,2025-12-28 14:17
ILX,90700,2025-12-28 14:17
OTER,90000,2025-12-28 14:17
DKVs,82200,2025-12-28 14:17
ODDS,76100,2025-12-28 14:17
OLYM,73200,2025-12-28 14:17
UAII,66600,2025-12-28 14:17
SSP4,65500,2025-12-28 14:17
HmAg,65400,2025-12-28 14:17
AST8,64200,2025-12-28 14:17
TGMW,62200,2025-12-28 14:17
KaWa,60600,2025-12-28 14:17
7dds,57700,2025-12-28 14:17
GVo,55900,2025-12-28 14:17
AuRa,48300,2025-12-28 14:17
SLaP,323000,2025-12-29 01:08
CUtE,320700,2025-12-29 01:08
R438,299800,2025-12-29 01:08
TxCx,299400,2025-12-29 01:08
6999,295700,2025-12-29 01:08
202S,293200,2025-12-29 01:08
GraB,292500,2025-12-29 01:08
MINi,288500,2025-12-29 01:08
Mad1,287700,2025-12-29 01:08
BdBr,287400,2025-12-29 01:08
FUZZ,287100,2025-12-29 01:08
304z,286100,2025-12-29 01:08
FKX,283400,2025-12-29 01:08
TGnG,274600,2025-12-29 01:08
IMRG,274500,2025-12-29 01:08
PFB,266300,2025-12-29 01:08
VALR,265400,2025-12-29 01:08
WIKD,264800,2025-12-29 01:08
4PEx,264200,2025-12-29 01:08
FiRi,263900,2025-12-29 01:08
WKZ,260100,2025-12-29 01:08
LoYL,257800,2025-12-29 01:08
Risk,257700,2025-12-29 01:08
lux,257700,2025-12-29 01:08
SHPs,256900,2025-12-29 01:08
NAOW,256900,2025-12-29 01:08
VvIP,256700,2025-12-29 01:08
HOM3,252700,2025-12-29 01:08
DRTC,247400,2025-12-29 01:08
SEC9,236700,2025-12-29 01:08
QuAC,230100,2025-12-29 01:08
KOv,225400,2025-12-29 01:08
PHTH,223900,2025-12-29 01:08
ELFy,218500,2025-12-29 01:08
HMTE,218200,2025-12-29 01:08
KDIR,217500,2025-12-29 01:08
jsR,209300,2025-12-29 01:08
HRHm,209100,2025-12-29 01:08
APXP,207400,2025-12-29 01:08
BJug,204400,2025-12-29 01:08
Oadk,196600,2025-12-29 01:08
438R,179900,2025-12-29 01:08
PYRE,179600,2025-12-29 01:08
PM62,176400,2025-12-29 01:08
SLoW,174800,2025-12-29 01:08
DJs,170200,2025-12-29 01:08
NaOw,170000,2025-12-29 01:08
WOTH,153800,2025-12-29 01:08
DAYs,152600,2025-12-29 01:08
JJDJ,149600,2025-12-29 01:08
TLOS,144300,2025-12-29 01:08
Kgl,139500,2025-12-29 01:08
CARA,138800,2025-12-29 01:08
AZoo,137900,2025-12-29 01:08
TRPx,118600,2025-12-29 01:08
LuNE,103000,2025-12-29 01:08
ILX,98500,2025-12-29 01:08
OTER,95500,2025-12-29 01:08
DKVs,87300,2025-12-29 01:08
ODDS,81600,2025-12-29 01:08
OLYM,80900,2025-12-29 01:08
UAII,76300,2025-12-29 01:08
SSP4,72100,2025-12-29 01:08
KaWa,70100,2025-12-29 01:08
HmAg,69800,2025-12-29 01:08
AST8,69700,2025-12-29 01:08
TGMW,67700,2025-12-29 01:08
7dds,62100,2025-12-29 01:08
GVo,60300,2025-12-29 01:08
AuRa,55800,2025-12-29 01:08
VLR2,51300,2025-12-29 01:08
TH08,49700,2025-12-29 01:08
SLaP,382600,2025-12-30 02:23
CUtE,375700,2025-12-30 02:23
R438,352300,2025-12-30 02:23
TxCx,351900,2025-12-30 02:23
6999,348200,2025-12-30 02:23
202S,345700,2025-12-30 02:23
GraB,345000,2025-12-30 02:23
MINi,341000,2025-12-30 02:23
BdBr,339900,2025-12-30 02:23
FUZZ,339600,2025-12-30 02:23
304z,338600,2025-12-30 02:23
Mad1,337700,2025-12-30 02:23
FKX,335900,2025-12-30 02:23
TGnG,327100,2025-12-30 02:23
IMRG,327000,2025-12-30 02:23
4PEx,316700,2025-12-30 02:23
PFB,313800,2025-12-30 02:23
WIKD,309800,2025-12-30 02:23
FiRi,308900,2025-12-30 02:23
VALR,307900,2025-12-30 02:23
LoYL,302800,2025-12-30 02:23
lux,302700,2025-12-30 02:23
WKZ,302600,2025-12-30 02:23
SHPs,301900,2025-12-30 02:23
NAOW,301900,2025-12-30 02:23
VvIP,301700,2025-12-30 02:23
Risk,300200,2025-12-30 02:23
DRTC,297400,2025-12-30 02:23
HOM3,295000,2025-12-30 02:23
QuAC,277600,2025-12-30 02:23
SEC9,275700,2025-12-30 02:23
KOv,272900,2025-12-30 02:23
ELFy,263500,2025-12-30 02:23
KDIR,262500,2025-12-30 02:23
HMTE,262200,2025-12-30 02:23
PHTH,261400,2025-12-30 02:23
jsR,246800,2025-12-30 02:23
HRHm,245600,2025-12-30 02:23
BJug,241900,2025-12-30 02:23
APXP,232400,2025-12-30 02:23
Oadk,229100,2025-12-30 02:23
438R,214900,2025-12-30 02:23
PYRE,213600,2025-12-30 02:23
SLoW,212300,2025-12-30 02:23
NaOw,205000,2025-12-30 02:23
PM62,203900,2025-12-30 02:23
DJs,195200,2025-12-30 02:23
DAYs,182600,2025-12-30 02:23
WOTH,181300,2025-12-30 02:23
JJDJ,169600,2025-12-30 02:23
TLOS,166800,2025-12-30 02:23
AZoo,165400,2025-12-30 02:23
Kgl,164500,2025-12-30 02:23
CARA,161300,2025-12-30 02:23
TRPx,128600,2025-12-30 02:23
LuNE,123000,2025-12-30 02:23
ILX,117500,2025-12-30 02:23
DKVs,109800,2025-12-30 02:23
OTER,108000,2025-12-30 02:23
UAII,98800,2025-12-30 02:23
OLYM,98400,2025-12-30 02:23
ODDS,97900,2025-12-30 02:23
KaWa,94800,2025-12-30 02:23
SSP4,90900,2025-12-30 02:23
AST8,82200,2025-12-30 02:23
TGMW,81400,2025-12-30 02:23
HmAg,80400,2025-12-30 02:23
AuRa,75300,2025-12-30 02:23
TH08,73400,2025-12-30 02:23
7dds,72100,2025-12-30 02:23
VATH,71200,2025-12-30 02:23
GVo,70300,2025-12-30 02:23
VLR2,68600,2025-12-30 02:23
RORR,68000,2025-12-30 02:23
BigC,66300,2025-12-30 02:23
RAiD,65300,2025-12-30 02:23
DPrX,58200,2025-12-30 02:23
GenD,46100,2025-12-30 02:23
DuDy,42900,2025-12-30 02:23
BsPh,41300,2025-12-30 02:23
SLaP,590600,2026-01-02 11:27
CUtE,572700,2026-01-02 11:28
R438,539400,2026-01-02 11:29
TxCx,537600,2026-01-02 11:30
6999,534900,2026-01-02 11:31
GraB,534700,2026-01-02 11:32
202S,532800,2026-01-02 11:33
MINi,528100,2026-01-02 11:34
304z,526300,2026-01-02 11:35
FUZZ,525700,2026-01-02 11:36
FKX,523200,2026-01-02 11:37
BdBr,520800,2026-01-02 11:38
Mad1,516700,2026-01-02 11:39
TGnG,514200,2026-01-02 11:40
4PEx,503000,2026-01-02 11:41
IMRG,500000,2026-01-02 11:42
DRTC,480900,2026-01-02 11:43
PFB,479900,2026-01-02 11:44
SHPs,473700,2026-01-02 11:45
FiRi,466600,2026-01-02 11:46
WIKD,465300,2026-01-02 11:47
lux,461500,2026-01-02 11:48
NAOW,460700,2026-01-02 11:49
VvIP,460500,2026-01-02 11:50
LoYL,458600,2026-01-02 11:51
VALR,455800,2026-01-02 11:52
WKZ,451400,2026-01-02 11:53
Risk,451100,2026-01-02 11:54
KOv,446800,2026-01-02 11:55
HOM3,444300,2026-01-02 11:56
QuAC,443700,2026-01-02 11:57
KDIR,429900,2026-01-02 11:58
ELFy,422500,2026-01-02 11:59
HMTE,419800,2026-01-02 11:60
SEC9,415300,2026-01-02 11:61
PHTH,390500,2026-01-02 11:62
jsR,384900,2026-01-02 11:63
HRHm,383700,2026-01-02 11:64
BJug,380200,2026-01-02 11:65
SLoW,351400,2026-01-02 11:66
Oadk,340100,2026-01-02 11:67
438R,337100,2026-01-02 11:68
PYRE,334600,2026-01-02 11:69
NaOw,331000,2026-01-02 11:70
APXP,325400,2026-01-02 11:71
DJs,293000,2026-01-02 11:72
DAYs,292700,2026-01-02 11:73
PM62,284200,2026-01-02 11:74
WOTH,279100,2026-01-02 11:75
AZoo,265000,2026-01-02 11:76
Kgl,248300,2026-01-02 11:77
JJDJ,237000,2026-01-02 11:78
TLOS,236700,2026-01-02 11:79
CARA,233800,2026-01-02 11:80
LuNE,209800,2026-01-02 11:81
KaWa,191800,2026-01-02 11:82
DKVs,191700,2026-01-02 11:83
TRPx,185900,2026-01-02 11:84
ILX,184500,2026-01-02 11:85
UAII,171700,2026-01-02 11:86
VATH,169200,2026-01-02 11:87
SSP4,159700,2026-01-02 11:88
TGMW,159500,2026-01-02 11:89
OLYM,157200,2026-01-02 11:90
ODDS,154600,2026-01-02 11:91
TH08,154400,2026-01-02 11:92
OTER,152600,2026-01-02 11:93
AuRa,148600,2026-01-02 11:94
RAiD,147100,2026-01-02 11:95
BigC,143700,2026-01-02 11:96
RORR,137900,2026-01-02 11:97
AST8,134900,2026-01-02 11:98
VLR2,133100,2026-01-02 11:99
HmAg,129000,2026-01-02 11:100
DPrX,126400,2026-01-02 11:101
7dds,104500,2026-01-02 11:102
GVo,102700,2026-01-02 11:103
